extracted_at,base_currency,target_currency,rate,date
2026-05-08T12:33:05.219094,EUR,BRL,5.787,2026-05-07
2026-05-08T12:33:05.219106,EUR,CHF,0.9157,2026-05-07
2026-05-08T12:33:05.219110,EUR,GBP,0.8641,2026-05-07
2026-05-08T12:33:05.219112,EUR,JPY,184.07,2026-05-07
2026-05-08T12:33:05.219114,EUR,USD,1.177,2026-05-07
2026-05-08T17:07:43.935833,EUR,BRL,5.7794,2026-05-08
2026-05-08T17:07:43.935841,EUR,CHF,0.9156,2026-05-08
2026-05-08T17:07:43.935843,EUR,GBP,0.8641,2026-05-08
2026-05-08T17:07:43.935845,EUR,JPY,184.37,2026-05-08
2026-05-08T17:07:43.935846,EUR,USD,1.1761,2026-05-08
2026-05-08T17:19:33.385410+00:00,EUR,BRL,5.7794,2026-05-08
2026-05-08T17:19:33.385415+00:00,EUR,CHF,0.9156,2026-05-08
2026-05-08T17:19:33.385416+00:00,EUR,GBP,0.8641,2026-05-08
2026-05-08T17:19:33.385417+00:00,EUR,JPY,184.37,2026-05-08
2026-05-08T17:19:33.385418+00:00,EUR,USD,1.1761,2026-05-08
2026-05-08T17:19:39.880983+00:00,EUR,BRL,5.7794,2026-05-08
2026-05-08T17:19:39.880989+00:00,EUR,CHF,0.9156,2026-05-08
2026-05-08T17:19:39.880991+00:00,EUR,GBP,0.8641,2026-05-08
2026-05-08T17:19:39.880992+00:00,EUR,JPY,184.37,2026-05-08
2026-05-08T17:19:39.880993+00:00,EUR,USD,1.1761,2026-05-08
2026-05-09T12:28:43.181664+00:00,EUR,BRL,5.7794,2026-05-08
2026-05-09T12:28:43.181674+00:00,EUR,CHF,0.9156,2026-05-08
2026-05-09T12:28:43.181677+00:00,EUR,GBP,0.8641,2026-05-08
2026-05-09T12:28:43.181679+00:00,EUR,JPY,184.37,2026-05-08
2026-05-09T12:28:43.181681+00:00,EUR,USD,1.1761,2026-05-08
